file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0450_0009_57860_to_66515,འོ་ད་ཤེས་སོང། གོ་གི་མི་འདུག་གོ ཝ་ཡེ། ཝ་ཡེ། ཨ་མ་ལགས་གོ་གི་མི་འདུག དེ་གཟོད་བརྒྱག་ཡོང་དགོས། ཏུང་ཏུང་ཏེས་ཏེས་ཏུང་ཏེས ,'o da shes song/_go gi mi 'dug go_wa ye/_wa ye/_a ma lags go gi mi 'dug_de gzod brgyag yong dgos/_tung tung tes tes tung tes_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0009_57860_to_66515.wav,STT_MV,2,113,8.655,wav16k/STT_MV0450_0009_57860_to_66515.wav,འོ་ད་ཤེས་སོང་། གོ་གི་མི་འདུག་ག ཝ་། ཝེ། ཨ་མ་ལགས་གོ་གི་མི་འདུག དོན་དུད་རྒྱབ་ཡ་གོ། ཏོང་ཀཏིང་ཏིང་ཏིང་ཏོང་ཏིང་
STT_MV0450_0010_66515_to_69279,འོ་ད་ཡིན་ན་ལྷན་རྒྱས་ཚོ་ལ་ཞུ་རྒྱུ།  ,'o da yin na lhan rgyas tsho la zhu rgyu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0010_66515_to_69279.wav,STT_MV,2,35,2.764,wav16k/STT_MV0450_0010_66515_to_69279.wav,འོ་ད་ཡིན་ན་ལྷན་རྒྱས་ཚོ་ཞུ་རྒྱུར།
STT_MV0450_0012_76956_to_78481,དངོས་གནས ,dngos gnas_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0012_76956_to_78481.wav,STT_MV,2,9,1.525,wav16k/STT_MV0450_0012_76956_to_78481.wav,དངོས་གནས།
STT_MV0450_0014_88232_to_97916,སོ་སོ་གདོན་འདྲེའི་བཟོ་འདྲ་ཞིག་ཡོང། ད་དུང་ང་སྨྱོ་པ་རེད་ཡིན་ན་གཅིག ཨ་ཙི། ཨ་ཡོ་ད། ཨ་ཡོ། གཞུག་གུ་ལུས་པ་རེད་བསམ་བྱུང་།  ,so so gdon 'dre'i bzo 'dra zhig yong/_da dung nga smyo pa red yin na gcig_a tsi/_a yo da/_a yo/_gzhug gu lus pa red bsam byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0014_88232_to_97916.wav,STT_MV,2,115,9.684,wav16k/STT_MV0450_0014_88232_to_97916.wav,སོ་སོ་གདོན་འདྲེ་སུ་བྱས་ཡོང་། ད་དུང་ང་སྨྱོན་པོ་རེད་ཡིན་ད་གཅིག ཨོ་ཙི། ཧ་ཡོ་ད། ཧ་ཡོ། གཞུག་གུ་ལས་རེད་བསམ་བྱུང།
STT_MV0450_0015_97916_to_99884,འདིར་མི་ཡོད་ད་ ,'dir mi yod da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0015_97916_to_99884.wav,STT_MV,2,15,1.968,wav16k/STT_MV0450_0015_97916_to_99884.wav,འདིར་མི་ཡོད་ད།
STT_MV0450_0016_99884_to_108264,ག་རེ། འདི་སྟོང་པ་རེད་འདུག་ག་ཨེ་ནས། ང་ད་གིན་ནས་ཡོང་པ་ཡིན ,ga re/_'di stong pa red 'dug ga e nas/_nga da gin nas yong pa yin_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0016_99884_to_108264.wav,STT_MV,2,56,8.38,wav16k/STT_MV0450_0016_99884_to_108264.wav,ག་རེ། འདི་སྟོང་པ་རེད་འདུག་ག་ཨེ་ནས། ང་ད་གིན་ནས་ཡོང་པ་ཡིན།
STT_MV0450_0017_109552_to_113063,ཨ་ཙི། ཧམ་པ་ལ་ཨ། སྙུང་ཨེ་ནས ,a tsi/_ham pa la a/_snyung e nas_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0017_109552_to_113063.wav,STT_MV,2,27,3.511,wav16k/STT_MV0450_0017_109552_to_113063.wav,ཨོ་ཙི། ཧམ་པ་ལ་ཨ། སྨྱོ་ཨེ་ནས།
STT_MV0450_0018_113063_to_122967,བུ་མོ་སེ་ལེ་ཕད་ཁུག་བཟོ་འདྲ་འདི་ནི། ཧུ། གཅིག་བྱེད་ཀིན་ཡ། ཧ་རོལ། ཧ་རོལ ,bu mo se le phad khug bzo 'dra 'di ni/_hu/_gcig byed kin ya/_ha rol/_ha rol_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0450_0018_113063_to_122967.wav,STT_MV,2,69,9.904,wav16k/STT_MV0450_0018_113063_to_122967.wav,བུ་མོ་བཅི་སི་ལི་བ་གོ་ཟོ་དེ་ནས། གཅིག་བྱེད་ཀི་ཡ།
STT_TT00828_0101_788363_to_792683,དེ་ཡིན་ཙང་། སྒྲ་རྟོག་སེལ་བའི་ཡུལ་ཅན་དུ་སྒྲུབ་པའི་རྟགས་ཡང་དག་ཡིན་ཙང་། དེའི་སྐབས་ཀྱི་ཕྱི་རྒོལ་དེ་གིས་སྒྲ་རྟོག་སེལ་བའི་ཡུལ་ཅན་དུ་རྟོགས་རེད།  ,de yin tsang /_sgra rtog sel ba'i yul can du sgrub pa'i rtags yang dag yin tsang /_de'i skabs kyi phyi rgol de gis sgra rtog sel ba'i yul can du rtogs red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00828_0101_788363_to_792683.wav,STT_TT,2,138,4.32,wav16k/STT_TT00828_0101_788363_to_792683.wav,དེ་ཡིན་ཙང་།སྒྲ་རྟོག་སེལ་བའི་ཡུལ་ཅན་དུ་སྒྲུབ་པའི་རྟགས་ཡང་དག་ཡིན་ཙང་། དེའི་སྐབས་ཀྱི་ཕྱིར་རྒོལ་དེ་གིས་སྒྲ་རྟོག་སལ་བའི་ཡུལ་ཅན་དུ་རྟོགས་ར།
STT_MV0691_0206_1433365_to_1437545,དེ་ཞག་རང་གཟུགས་པོ་ཡག་པོ་མེད་ཙང་། དེ་ཚོ་མང་ཙམ་བཟས་ཅིང་གསོས་བཏང་ན་ཡག་པོ་ཡོད་རེད།  ,de zhag rang gzugs po yag po med tsang /_de tsho mang tsam bzas cing gsos btang na yag po yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0691_0206_1433365_to_1437545.wav,STT_MV,2,80,4.18,wav16k/STT_MV0691_0206_1433365_to_1437545.wav,དེ་ཞག་རང་གཟུགས་པོ་ཡག་པོ་མེད་ཙང་དེ་ཚོ་མང་ཙེ་བཟས་བྱས་གསོས་བཏང་ན་ཡག་པོ་ཡོད་རེད།
